row_number,question_text,correct_answer,knowledge_area,concept_id,concept_name,relevance,reasoning
2,What is the primary purpose of stakeholder analysis?...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
3,Which technique is used to understand stakeholder needs and expectations?...,A,Elicitation and Collaboration,,NO MAPPING,,
4,What is the purpose of requirements prioritization?...,D,Requirements Life Cycle Management,,NO MAPPING,,
5,Which analysis is performed to understand the organization's strategic direction?...,D,Strategy Analysis,,NO MAPPING,,
6,What is the purpose of data modeling?...,A,Requirements Analysis and Design Definition,,NO MAPPING,,
7,Which technique is used to measure solution effectiveness?...,D,Solution Evaluation,,NO MAPPING,,
8,What is a key component of the BA Planning and Monitoring knowledge area?...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
9,Which elicitation technique involves observing users in their environment?...,A,Elicitation and Collaboration,,NO MAPPING,,
10,What is the purpose of requirements traceability?...,D,Requirements Life Cycle Management,,NO MAPPING,,
11,Which strategic analysis technique identifies internal strengths and weaknesses?...,A,Strategy Analysis,,NO MAPPING,,
12,A new initiative requires integrating two legacy systems. You anticipate significant stakeholder res...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
13,The regulatory environment surrounding your project is highly complex and volatile. As you begin to ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
14,A business analyst is defining the structure for their forthcoming requirement package. What should ...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
15,The purpose of the Plan Business Analysis Approach task (3.1) is best described as:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
16,Which element of the Plan Business Analysis Approach task involves selecting whether requirements wi...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
17,The primary output of the Plan Business Analysis Approach task (3.1) is the:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
18,"While defining the BA Approach, the business analyst uses Expert Judgment (a guideline/tool) to dete...",D,Business Analysis Planning and Monitoring,,NO MAPPING,,
19,A Business Analyst determined that a project's high complexity and the organization’s low tolerance ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
20,"A large, multi-year program requires the Business Analyst to define how all subsequent planning will...",A,Business Analysis Planning and Monitoring,,NO MAPPING,,
21,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
22,"You are initiating a high-profile, cross-functional initiative impacting five departments, three of ...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
23,"During the execution of a change, a key stakeholder's attitude shifts from positive to highly negati...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
24,The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder E...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
25,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
26,A BA is drafting a stakeholder communication plan. Which factor determines the appropriate level of ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
27,The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept b...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
28,A crucial step in defining stakeholder collaboration involves planning different engagement approach...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
29,"In an organization utilizing a complex, predictive methodology, the BA is defining the governance ap...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
30,The Business Analyst must establish who has the authority to approve changes to baselined requiremen...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
31,A project is starting with high uncertainty regarding technical feasibility. When planning the prior...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
32,Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decisio...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
33,A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which ...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
34,The primary output of Plan Business Analysis Governance (3.3) is the Governance Approach. What does ...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
35,"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consider...",A,Business Analysis Planning and Monitoring,,NO MAPPING,,
36,"During the Plan Business Analysis Information Management task (3.4), a BA must define how requiremen...",C,Business Analysis Planning and Monitoring,,NO MAPPING,,
37,A BA is planning the information management approach (3.4). The organization has chosen a requiremen...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
38,"Which requirement attribute helps distinguish between relative value and implementation urgency, ena...",D,Business Analysis Planning and Monitoring,,NO MAPPING,,
39,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
40,When structuring business analysis information for the Plan Business Analysis Information Management...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
41,The primary output of the Plan Business Analysis Information Management task (3.4) is the:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
42,The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
43,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
44,Which element of the Identify Business Analysis Performance Improvements task compares the performan...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
45,The BA collected qualitative feedback from stakeholders indicating that the models produced were dif...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
46,"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against whi...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
47,A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performa...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
48,The task Prepare for Elicitation (4.1) primarily involves:...,C,Elicitation and Collaboration,,NO MAPPING,,
49,A Business Analyst needs to elicit requirements for a major system overhaul. The domain subject matt...,B,Elicitation and Collaboration,,NO MAPPING,,
50,"When selecting elicitation techniques (4.1.4.2) for a politically sensitive project, a BA opts for o...",C,Elicitation and Collaboration,,NO MAPPING,,
51,A BA is preparing for a session to define the scope of a complex regulatory reporting requirement. W...,C,Elicitation and Collaboration,,NO MAPPING,,
52,The primary output of the Prepare for Elicitation task (4.1) is the:...,B,Elicitation and Collaboration,,NO MAPPING,,
53,A key element of preparing stakeholders (4.1.4.5) involves explaining the elicitation technique to e...,B,Elicitation and Collaboration,,NO MAPPING,,
54,A BA must select techniques for a session intended to collaboratively identify and reach consensus o...,B,Elicitation and Collaboration,,NO MAPPING,,
55,A Business Analyst needs to discover information that cannot be reliably drawn from people or existi...,C,Elicitation and Collaboration,,NO MAPPING,,
56,"During the Conduct Elicitation task (4.2), a BA finds that stakeholders are repeatedly discussing to...",C,Elicitation and Collaboration,,NO MAPPING,,
