row_number,question_text,correct_answer,knowledge_area,concept_id,concept_name,relevance,reasoning
2,A new initiative requires integrating two legacy systems. You anticipate significant stakeholder res...,C,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Primary concept from CSV (score: 100%)
3,The regulatory environment surrounding your project is highly complex and volatile. As you begin to ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
4,A business analyst is defining the structure for their forthcoming requirement package. What should ...,A,Business Analysis Planning and Monitoring,9bd328be-ed77-44fd-9a72-cbe56d835abd,Deliverables,1.0,Primary concept from CSV (score: 100%)
5,The purpose of the Plan Business Analysis Approach task (3.1) is best described as:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
6,Which element of the Plan Business Analysis Approach task involves selecting whether requirements wi...,A,Business Analysis Planning and Monitoring,7f4f32ae-c772-47fb-9723-7dec2608ae0b,Planning-Approach,1.0,Primary concept from CSV (score: 100%)
7,The primary output of the Plan Business Analysis Approach task (3.1) is the:...,A,Business Analysis Planning and Monitoring,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
8,"While defining the BA Approach, the business analyst uses Expert Judgment (a guideline/tool) to dete...",D,Business Analysis Planning and Monitoring,0dc06fc4-3c7f-432b-a7f0-8eb78eccb296,Expert-Judgment,1.0,Primary concept from CSV (score: 100%)
9,A Business Analyst determined that a project's high complexity and the organization’s low tolerance ...,B,Business Analysis Planning and Monitoring,87ca6a1e-446e-49c0-b878-d75f91db2fc2,Risk-Management,0.7,Secondary concept from CSV tag 'risk-management' (score: 100%)
10,"A large, multi-year program requires the Business Analyst to define how all subsequent planning will...",A,Business Analysis Planning and Monitoring,050d58a1-472f-46f4-89f6-0900fdf6488e,Needs,1.0,Primary concept from CSV (score: 100%)
11,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,03055617-3d86-4d9f-8671-794d03261bed,Stakeholders,1.0,Primary concept from CSV (score: 100%)
11,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,68e8c669-87f1-49e5-93fd-7e9dae9332ea,Alignment,0.7,Secondary concept from CSV tag 'alignment' (score: 100%)
12,"You are initiating a high-profile, cross-functional initiative impacting five departments, three of ...",B,Business Analysis Planning and Monitoring,fee42d0d-4f45-424c-acee-15bd802d532f,Stakeholder-Analysis,1.0,Primary concept from CSV (score: 100%)
13,"During the execution of a change, a key stakeholder's attitude shifts from positive to highly negati...",B,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Primary concept from CSV (score: 100%)
14,The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder E...,A,Business Analysis Planning and Monitoring,fee42d0d-4f45-424c-acee-15bd802d532f,Stakeholder-Analysis,1.0,Primary concept from CSV (score: 100%)
14,The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder E...,A,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,0.7,Secondary concept from CSV tag 'inputs' (score: 100%)
15,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,34f4df70-3cd2-4793-9293-2aa7b7918137,Stakeholder-Map,1.0,Primary concept from CSV (score: 100%)
15,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,fee42d0d-4f45-424c-acee-15bd802d532f,Stakeholder-Analysis,0.7,Secondary concept from CSV tag 'stakeholder-analysis' (score: 100%)
16,A BA is drafting a stakeholder communication plan. Which factor determines the appropriate level of ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
17,The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept b...,C,Business Analysis Planning and Monitoring,451df097-1f3a-4d6e-a921-5ad51c81da1e,Core-Concepts,1.0,Primary concept from CSV (score: 100%)
17,The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept b...,C,Business Analysis Planning and Monitoring,03055617-3d86-4d9f-8671-794d03261bed,Stakeholders,0.7,Secondary concept from CSV tag 'stakeholders' (score: 100%)
18,A crucial step in defining stakeholder collaboration involves planning different engagement approach...,B,Business Analysis Planning and Monitoring,0ab4c696-66f5-4e92-badd-595af2f395d3,Collaboration,1.0,Primary concept from CSV (score: 100%)
19,"In an organization utilizing a complex, predictive methodology, the BA is defining the governance ap...",B,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Primary concept from CSV (score: 100%)
19,"In an organization utilizing a complex, predictive methodology, the BA is defining the governance ap...",B,Business Analysis Planning and Monitoring,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
20,The Business Analyst must establish who has the authority to approve changes to baselined requiremen...,A,Business Analysis Planning and Monitoring,34f8b7da-3609-4f56-b01d-b50825628e30,Change-Control,1.0,Primary concept from CSV (score: 100%)
20,The Business Analyst must establish who has the authority to approve changes to baselined requiremen...,A,Business Analysis Planning and Monitoring,2bb082d6-b226-478c-908b-ca954b2f5fe3,Approvals,0.7,Secondary concept from CSV tag 'approvals' (score: 100%)
21,A project is starting with high uncertainty regarding technical feasibility. When planning the prior...,B,Business Analysis Planning and Monitoring,5c8ea049-e0ec-4fb1-9521-bd7a45e0cab0,Risk,0.7,Secondary concept from CSV tag 'risk' (score: 100%)
22,Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decisio...,A,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Primary concept from CSV (score: 100%)
22,Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decisio...,A,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,0.7,Secondary concept from CSV tag 'inputs' (score: 100%)
23,A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which ...,C,Business Analysis Planning and Monitoring,34f8b7da-3609-4f56-b01d-b50825628e30,Change-Control,1.0,Primary concept from CSV (score: 100%)
23,A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which ...,C,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,0.7,Secondary concept from CSV tag 'ba-governance' (score: 100%)
24,The primary output of Plan Business Analysis Governance (3.3) is the Governance Approach. What does ...,C,Business Analysis Planning and Monitoring,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
25,"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consider...",A,Business Analysis Planning and Monitoring,2bb082d6-b226-478c-908b-ca954b2f5fe3,Approvals,1.0,Primary concept from CSV (score: 100%)
25,"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consider...",A,Business Analysis Planning and Monitoring,603980e7-b4d4-42a3-975c-d8b0d43ef8aa,Culture,0.7,Secondary concept from CSV tag 'culture' (score: 100%)
26,"During the Plan Business Analysis Information Management task (3.4), a BA must define how requiremen...",C,Business Analysis Planning and Monitoring,33eb34bc-af8e-4b15-894c-2d1ad3d2ee1b,Requirements-Reuse,1.0,Primary concept from CSV (score: 100%)
26,"During the Plan Business Analysis Information Management task (3.4), a BA must define how requiremen...",C,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,0.7,Secondary concept from CSV tag 'information-management' (score: 100%)
27,A BA is planning the information management approach (3.4). The organization has chosen a requiremen...,C,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Primary concept from CSV (score: 100%)
